PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1272_848 (4).tif,416.03,7846,88.21,125.34,314,120,62.61,131,94,99.95,365.46,8730,370.26,123.86,83.63,132.2,88.21,125.34,133,,1.32,0.97,0.71,1.92,,0.57,1.48,0.89,0.9,,0.75,0.28,0.72,99.95,0.88,0.9,,0.57,0.68,0.88,0.9,,0.57,0.71,0.57,0.7,1.42,0.23
S1272_854.tif,451.09,9892,101.12,115.97,352.57,111,87.68,133,115,112.23,400.2,10809,419.57,125.23,104.88,139.52,101.12,115.97,140,,1.28,1.04,0.84,1.27,,0.61,1.19,0.93,0.92,,0.78,0.14,0.86,112.23,0.89,0.92,,0.61,0.84,0.89,0.92,,0.65,0.84,0.61,0.87,1.15,0.33
S1272_860 (2).tif,697.94,20386,169.01,177.08,506.14,170,116.13,216,150,161.11,594.54,22823,608.09,197.3,136.51,217.5,169.01,177.08,218,,1.38,1.01,0.68,1.46,,0.53,1.45,0.87,0.89,,0.73,0.31,0.69,161.11,0.85,0.89,,0.53,0.69,0.85,0.89,,0.55,0.68,0.53,0.95,1.05,0.2
S1272_862.tif,525.29,11049,117.76,149.46,372.62,142,74.61,161,128,118.61,459.59,13210,484.66,152.02,108.23,163.25,117.76,149.46,165,,1.41,0.98,0.63,1.9,,0.5,1.4,0.92,0.84,,0.71,0.2,0.8,118.61,0.87,0.84,,0.5,0.71,0.87,0.84,,0.53,0.63,0.5,0.79,1.27,0.17
S1272_866.tif,823.11,32794,192.27,230.53,641.95,222,147.96,249,199,204.34,748.06,35994,771.02,228.19,192.43,257.23,192.27,230.53,255,,1.28,0.97,0.74,1.5,,0.61,1.19,0.94,0.91,,0.78,0.2,0.8,204.34,0.91,0.91,,0.61,0.84,0.91,0.91,,0.63,0.74,0.61,0.83,1.2,0.28
S1272_868 (2).tif,432.37,10047,112.65,128.03,355.32,121,79.13,157,93,113.1,407.5,10605,413.44,146.3,89.89,157.21,112.65,128.03,158,,1.22,0.9,0.7,1.53,,0.68,1.63,0.96,0.95,,0.82,0.41,0.59,113.1,0.94,0.95,,0.68,0.61,0.94,0.95,,0.52,0.7,0.68,0.88,1.14,0.24
S1272_868.tif,639.47,20271,139.3,202.68,504.71,200,100.87,203,146,160.65,573.81,21799,589.09,194.74,136.14,203.2,139.3,202.68,204,,1.27,0.93,0.72,1.98,,0.62,1.43,0.92,0.93,,0.79,0.28,0.72,160.65,0.9,0.93,,0.62,0.7,0.9,0.93,,0.63,0.72,0.62,0.69,1.46,0.28
S1272_870 (2).tif,552.01,16932,115.56,195.46,461.27,192,86.59,201,114,146.83,532.06,17878,528.14,202.3,108.27,202.74,115.56,195.46,204,,1.2,0.89,0.75,2.22,,0.7,1.87,0.96,0.95,,0.84,0.43,0.57,146.83,0.96,0.95,,0.7,0.54,0.96,0.95,,0.52,0.75,0.7,0.59,1.69,0.27
S1272_870.tif,426.13,8612,99.67,112.73,328.97,112,77.26,125,110,104.71,383.16,9612,382.59,116.16,97.76,131.98,99.67,112.73,133,,1.3,1,0.77,1.45,,0.6,1.19,0.9,0.9,,0.77,0.12,0.88,104.71,0.9,0.9,,0.6,0.84,0.9,0.9,,0.63,0.77,0.6,0.88,1.13,0.29
S1272_874 (2).tif,414.43,7924,91.33,112.17,315.56,108,73.47,119,94,100.44,368.21,8968,374.72,116.61,89.64,124.81,91.33,112.17,126,,1.31,1.02,0.77,1.47,,0.58,1.3,0.9,0.88,,0.76,0.21,0.79,100.44,0.89,0.88,,0.58,0.77,0.89,0.88,,0.65,0.77,0.58,0.81,1.23,0.29
S1272_874.tif,543.57,14222,131.22,158.43,422.75,157,90.64,161,131,134.57,499.57,16039,535.13,161.16,121.99,172.75,131.22,158.43,166,,1.29,0.94,0.68,1.73,,0.6,1.32,0.98,0.89,,0.78,0.19,0.81,134.57,0.92,0.89,,0.6,0.76,0.92,0.89,,0.61,0.68,0.6,0.83,1.21,0.25
