PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1178.tif,296.49,2903,45.72,111.06,191,103,26.02,112,46,60.8,273.24,3728,288.78,110.99,40.26,113.27,45.72,111.06,114,,1.55,0.95,0.57,3.96,,0.41,2.76,0.97,0.78,,0.64,0.59,0.41,60.8,0.92,0.78,,0.41,0.36,0.92,0.78,,0.29,0.57,0.41,0.41,2.43,0.07
S1255_1182.tif,291.81,4005,70.56,81.8,224.34,76,49.46,91,68,71.41,259.76,4496,267.72,84.5,62.19,92.31,70.56,81.8,93,,1.3,0.96,0.69,1.54,,0.59,1.36,0.92,0.89,,0.77,0.25,0.75,71.41,0.89,0.89,,0.59,0.74,0.89,0.89,,0.6,0.69,0.59,0.86,1.16,0.25
S1255_1190 (2).tif,337.85,4961,68.98,104,249.68,104,48.03,102,71,79.48,293.46,5727,290.28,100.76,64.72,104.11,68.98,104,105,,1.35,0.98,0.69,2.17,,0.55,1.56,0.86,0.87,,0.74,0.3,0.7,79.48,0.87,0.87,,0.55,0.64,0.87,0.87,,0.58,0.69,0.55,0.66,1.51,0.22
S1255_1190.tif,370.92,5324,77.11,93.95,258.66,93,57.59,94,77,82.33,298.68,6116,300.38,97.27,73.88,99.39,77.11,93.95,99,,1.43,1.08,0.73,1.61,,0.49,1.32,0.81,0.87,,0.7,0.18,0.82,82.33,0.81,0.87,,0.49,0.76,0.81,0.87,,0.69,0.73,0.49,0.82,1.22,0.25
S1255_1194 (2).tif,499.09,9297,94,137.11,341.8,136,68.11,137,94,108.8,402.07,10564,413.87,139.26,90.16,140.03,94,137.11,140,,1.46,1.08,0.72,2,,0.47,1.54,0.83,0.88,,0.68,0.31,0.69,108.8,0.81,0.88,,0.47,0.65,0.81,0.88,,0.6,0.72,0.47,0.69,1.46,0.2
S1255_1194.tif,347.4,6445,88.29,106.57,284.59,104,60.46,114,85,90.59,329.61,6888,355.96,107.49,80.11,116.57,88.29,106.57,117,,1.22,0.89,0.68,1.72,,0.67,1.34,1.02,0.94,,0.82,0.25,0.75,90.59,0.95,0.94,,0.67,0.75,0.95,0.94,,0.6,0.68,0.67,0.83,1.21,0.28
S1255_1196 (2).tif,435.35,9830,105,132,351.46,133,74.81,131,108,111.87,400.78,10867,407.61,131.02,98.02,132.52,105,132,133,,1.24,0.92,0.71,1.78,,0.65,1.34,0.94,0.9,,0.81,0.18,0.82,111.87,0.92,0.9,,0.65,0.75,0.92,0.9,,0.71,0.71,0.65,0.8,1.26,0.33
S1255_1196.tif,357.5,3952,72.8,91.06,222.85,90,46.58,91,82,70.94,274.25,4853,299,86.21,69.27,96.61,72.8,91.06,93,,1.6,1.09,0.6,1.93,,0.39,1.24,0.84,0.81,,0.62,0.1,0.9,70.94,0.77,0.81,,0.39,0.8,0.77,0.81,,0.54,0.6,0.39,0.8,1.25,0.12
S1255_1206 (2).tif,472.94,6048,67.12,144.16,275.68,140,42.16,146,71,87.75,370.23,7585,381.07,144.69,57.62,147.71,67.12,144.16,148,,1.72,1.12,0.63,3.32,,0.34,2.51,0.81,0.8,,0.58,0.51,0.49,87.75,0.78,0.8,,0.34,0.4,0.78,0.8,,0.35,0.63,0.34,0.47,2.15,0.07
S1255_1208.tif,430.17,7002,98.52,110.23,296.63,108,65.82,117,94,94.42,352.43,8443,348.67,118.11,81.04,117.17,98.52,110.23,119,,1.45,1.03,0.64,1.64,,0.48,1.46,0.81,0.83,,0.69,0.2,0.8,94.42,0.82,0.83,,0.48,0.69,0.82,0.83,,0.65,0.64,0.48,0.89,1.12,0.2
S1255_1212.tif,486.56,9190,91.95,149.33,339.83,150,62.18,150,92,108.17,410.96,10557,402.96,140.57,85.79,150.84,91.95,149.33,151,,1.43,1.01,0.67,2.41,,0.49,1.64,0.83,0.87,,0.7,0.39,0.61,108.17,0.84,0.87,,0.49,0.61,0.84,0.87,,0.51,0.67,0.49,0.62,1.62,0.17
S1255_1222.tif,386.62,8426,102.42,105.9,325.4,103,79.49,119,104,103.58,360.62,8878,360.05,111.9,97.13,119.22,102.42,105.9,120,,1.19,0.93,0.78,1.3,,0.71,1.15,0.93,0.95,,0.84,0.13,0.87,103.58,0.93,0.95,,0.71,0.87,0.93,0.95,,0.75,0.78,0.71,0.97,1.03,0.42
S1255_1224 (2).tif,352.92,3256,52.74,96.36,202.28,94,34.71,97,56,64.39,254.07,4193,254.46,93.42,48.19,97.32,52.74,96.36,98,,1.74,1.18,0.64,2.71,,0.33,1.94,0.72,0.78,,0.57,0.42,0.58,64.39,0.72,0.78,,0.33,0.52,0.72,0.78,,0.44,0.64,0.33,0.55,1.83,0.09
