PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1159_1434.tif,462.76,10144,109.32,128.53,357.03,128,79.33,130,110,113.65,413.97,11486,433.14,138.17,103.18,138.75,109.32,128.53,139,,1.3,0.97,0.72,1.61,,0.6,1.34,0.94,0.88,,0.77,0.15,0.85,113.65,0.89,0.88,,0.6,0.75,0.89,0.88,,0.67,0.72,0.6,0.85,1.18,0.29
S1159_1436 (3).tif,876.51,43624,241.26,258.26,740.4,257,173.37,298,222,235.68,848.47,46439,888.13,274.65,209.53,298.44,241.26,258.26,299,,1.18,0.88,0.7,1.48,,0.71,1.31,1.01,0.94,,0.84,0.26,0.74,235.68,0.97,0.94,,0.71,0.76,0.97,0.94,,0.62,0.7,0.71,0.93,1.07,0.31
S1159_1436.tif,444.48,9441,97.46,137.11,344.44,133,69.32,143,98,109.64,402.86,10293,405.44,127.25,96.68,144.01,97.46,137.11,145,,1.29,0.95,0.71,1.92,,0.6,1.32,0.91,0.92,,0.77,0.31,0.69,109.64,0.91,0.92,,0.6,0.76,0.91,0.92,,0.58,0.71,0.6,0.71,1.41,0.25
S1159_1438.tif,601.23,17188,154.46,154.67,464.75,153,112.72,158,161,147.93,530.78,19346,546.79,157.61,146.3,173.75,154.46,154.67,175,,1.29,0.97,0.72,1.36,,0.6,1.08,0.91,0.89,,0.77,-0.02,1.02,147.93,0.88,0.89,,0.6,0.93,0.88,0.89,,0.72,0.72,0.6,1,1,0.31
S1159_1442 (2).tif,600.06,15292,123.47,170.19,438.37,160,91.7,183,118,139.54,519.73,17048,515.15,174.26,114.68,191.44,123.47,170.19,192,,1.37,1.02,0.73,1.74,,0.53,1.52,0.86,0.9,,0.73,0.36,0.64,139.54,0.87,0.9,,0.53,0.66,0.87,0.9,,0.53,0.73,0.53,0.73,1.38,0.21
S1159_1442.tif,381.16,8488,103.59,113.99,326.59,107,74.1,137,92,103.96,370.43,8904,370.05,126.47,86.54,137.31,103.59,113.99,138,,1.17,0.88,0.72,1.44,,0.73,1.46,0.97,0.95,,0.86,0.33,0.67,103.96,0.97,0.95,,0.73,0.68,0.97,0.95,,0.57,0.72,0.73,0.91,1.1,0.3
S1159_1444 (3).tif,716.1,27435,162.26,209.02,587.16,207,133.41,209,164,186.9,667.59,29619,683.96,215.81,165.96,226.29,162.26,209.02,227,,1.22,0.96,0.81,1.55,,0.67,1.3,0.96,0.93,,0.82,0.22,0.78,186.9,0.93,0.93,,0.67,0.77,0.93,0.93,,0.68,0.81,0.67,0.78,1.29,0.37
S1159_1448.tif,626.36,24128,143,220,550.64,214,109.18,221,149,175.27,614.11,24645,621.76,217.04,143.23,223.31,143,220,223,,1.14,0.86,0.77,1.96,,0.77,1.52,0.99,0.98,,0.88,0.33,0.67,175.27,0.98,0.98,,0.77,0.66,0.98,0.98,,0.62,0.77,0.77,0.65,1.54,0.37
S1159_1450.tif,498.42,12904,122.07,152.35,402.69,153,85.53,173,111,128.18,467.65,14230,481.42,166.26,102.4,173.67,122.07,152.35,175,,1.24,0.91,0.69,1.79,,0.65,1.62,0.97,0.91,,0.81,0.36,0.64,128.18,0.94,0.91,,0.65,0.62,0.94,0.91,,0.54,0.69,0.65,0.8,1.25,0.25
S1159_1452.tif,1027.43,37604,123.7,440.71,687.42,433,85.28,441,125,218.81,1000.84,40664,980.56,426.45,115.06,441.28,123.7,440.71,442,,1.49,0.91,0.69,5.08,,0.45,3.71,0.95,0.92,,0.67,0.72,0.28,218.81,0.97,0.92,,0.45,0.27,0.97,0.92,,0.25,0.69,0.45,0.28,3.56,0.08
