PARTISAN (PARTicle Shape ANalyzer) particle parameters -- run 19-Jan-2020 23:29:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Basic metrics,,,,,,,,,,,,,,,,,,,,IPA: Dellino and La Volpe (1996),,,,,Cioni et al (2014),,,,,Leibrandt and Le Pennec (2015),,,,,,,Liu et al (2015),,,,,Schmith et al (2017),,,,,
filename,perimeter,particle area,width,breadth,perimeter of circle with area A,maximum intercept,mean intercept perpendicular,max. proj. length,orthogonal proj. length,Heywood diameter,convex hull perimeter,convex hull area,min ellipse perimeter,major best fit ellipse,minor best fit ellipse,diameter bounding circle,minimum Feret,orthogonal Feret,maximum Feret,,circularity,rectangularity,compactness,elongation,,circularity,ellipse aspect ratio,convexity,solidity,,circularity,elongation, aspect ratio,CE diameter,convexity,solidity,,form factor,axial ratio,convexity,solidity,,circularity,rectangularity,form factor,Feret aspect ratio,Feret aspect ratio,regularity parameter
grain,perimeter,Area,width,breadth,c,a,m,L_b,W_b,d_H,p_CP,A_CP,e_CE,L_maj,L_min,d_BC,l_F,w_F,d_F,_,Circ_DL,Rec_DL,Com_DL,Elo_DL,_,Circ_CI,AR_CI,Con_CI,Sol_CI,,Circ_LL,Elo_LL,AR_LL,d_Hey,Con_LL,Sol_LL,,FF,AR_LI,Con_LI,Sol_LI,,Circ_SC,Rec_SC,FF_SC,AR_F,AR_SC,Reg
S1255_1206 (2).tif,472.94,6048,67.12,144.16,275.68,140,42.16,146,71,87.75,370.23,7585,381.07,144.69,57.62,147.71,67.12,144.16,148,,1.72,1.12,0.63,3.32,,0.34,2.51,0.81,0.8,,0.58,0.51,0.49,87.75,0.78,0.8,,0.34,0.4,0.78,0.8,,0.35,0.63,0.34,0.47,2.15,0.07
S1255_1208.tif,430.17,7002,98.52,110.23,296.63,108,65.82,117,94,94.42,352.43,8443,348.67,118.11,81.04,117.17,98.52,110.23,119,,1.45,1.03,0.64,1.64,,0.48,1.46,0.81,0.83,,0.69,0.2,0.8,94.42,0.82,0.83,,0.48,0.69,0.82,0.83,,0.65,0.64,0.48,0.89,1.12,0.2
S1255_1222.tif,386.62,8426,102.42,105.9,325.4,103,79.49,119,104,103.58,360.62,8878,360.05,111.9,97.13,119.22,102.42,105.9,120,,1.19,0.93,0.78,1.3,,0.71,1.15,0.93,0.95,,0.84,0.13,0.87,103.58,0.93,0.95,,0.71,0.87,0.93,0.95,,0.75,0.78,0.71,0.97,1.03,0.42
S1255_1226 (2).tif,369.4,5165,74.61,102.34,254.77,101,50.75,101,76,81.09,300.49,5950,316.42,99.52,69.4,103.43,74.61,102.34,103,,1.45,1.04,0.68,1.99,,0.48,1.43,0.86,0.87,,0.69,0.25,0.75,81.09,0.81,0.87,,0.48,0.7,0.81,0.87,,0.61,0.68,0.48,0.73,1.37,0.2
S1255_1228.tif,393.69,7162,83.84,131.31,300,130,54.33,132,88,95.49,364.68,8232,364.83,132.18,73.81,132.91,83.84,131.31,134,,1.31,0.91,0.65,2.39,,0.58,1.79,0.93,0.87,,0.76,0.33,0.67,95.49,0.93,0.87,,0.58,0.56,0.93,0.87,,0.52,0.65,0.58,0.64,1.57,0.2
S1255_1244.tif,434.62,8286,101.48,114.47,322.68,109,73.57,118,112,102.71,377.99,9423,379,110.45,98.98,124.84,101.48,114.47,121,,1.35,1.01,0.71,1.48,,0.55,1.12,0.87,0.88,,0.74,0.05,0.95,102.71,0.87,0.88,,0.55,0.9,0.87,0.88,,0.68,0.71,0.55,0.89,1.13,0.27
S1255_1256 (3).tif,338.58,3597,63.62,96.66,212.61,93,37.53,98,64,67.67,276.35,4804,279.91,103.61,50,98.86,63.62,96.66,100,,1.59,1.06,0.58,2.48,,0.39,2.07,0.83,0.75,,0.63,0.35,0.65,67.67,0.82,0.75,,0.39,0.48,0.82,0.75,,0.47,0.58,0.39,0.66,1.52,0.11
S1255_1256.tif,689.15,14936,134.3,155.76,433.23,155,98.67,157,134,137.9,523.75,17484,532.94,164.27,122.75,175.89,134.3,155.76,175,,1.59,1.19,0.71,1.57,,0.4,1.34,0.77,0.85,,0.63,0.15,0.85,137.9,0.76,0.85,,0.4,0.75,0.76,0.85,,0.61,0.71,0.4,0.86,1.16,0.17
S1255_1260 (2).tif,223.66,2541,51.87,65.76,178.69,66,38.45,65,54,56.88,198.89,2803,206.09,66.11,50.81,66.79,51.87,65.76,67,,1.25,0.95,0.74,1.72,,0.64,1.3,0.92,0.91,,0.8,0.17,0.83,56.88,0.89,0.91,,0.64,0.77,0.89,0.91,,0.73,0.74,0.64,0.79,1.27,0.34
S1255_1260.tif,365.99,6346,82.97,97.67,282.39,94,65.23,113,94,89.89,321.58,6950,332.37,103.75,80.16,114.87,82.97,97.67,116,,1.3,1.01,0.78,1.44,,0.6,1.29,0.91,0.91,,0.77,0.17,0.83,89.89,0.88,0.91,,0.6,0.77,0.88,0.91,,0.61,0.78,0.6,0.85,1.18,0.29
